bottom_left,top_right,name,pop_density
"(-1.1023015975952148, 51.40582275390625)","(-0.950368344783783, 51.50300216674805)",Reading,4005.0
"(-1.215267062187138, 54.48666000366211)","(-0.7787690162657555, 54.647914886474666)",Redcar and Cleveland,560.0
"(-2.2776284217833904, 53.52325439453131)","(-2.0186028480529217, 53.69570159912121)",Rochdale,1407.0
"(-1.4153923988342285, 53.301906585693416)","(-1.1273958683013348, 53.50456619262695)",Rotherham,926.0
"(-0.7869502902030945, 52.529544830322266)","(-0.4460216760635376, 52.75325012207037)",Rutland,105.0
"(-2.4789302349090008, 53.422519683838004)","(-2.288799047469979, 53.55014038085943)",Salford,2663.0
"(-2.1015844345092205, 52.454582214355526)","(-1.9134330749511719, 52.565685272216854)",Sandwell,3839.0
"(-3.0229737758635906, 53.32652664184576)","(-2.8054370880126953, 53.48143005371094)",Liverpool,4453.0
"(-3.1036100387572674, 53.454860687255916)","(-2.8805010318756104, 53.70819473266613)",Sefton,1765.0
"(-1.7899699211119469, 53.314182281494254)","(-1.318764090538025, 53.4908561706543)",Sheffield,1590.0
"(-3.214167118072396, 52.303600311279354)","(-2.226943016052246, 53.00410842895508)",Shropshire,101.0
"(-0.6558436155319214, 51.46369552612305)","(-0.501174807548523, 51.541046142578125)",Slough,4595.0
"(-1.8744635581970215, 52.349021911621094)","(-1.582886338233834, 52.510143280029354)",Solihull,1214.0
"(-2.847442150115967, 51.05799865722662)","(-2.2361099720000652, 51.32666015625)",Mendip,156.0
"(-3.2004711627960205, 51.04578781127924)","(-2.6948509216308594, 51.32875061035156)",Sedgemoor,218.0
"(-3.0896944999694824, 50.82255172729498)","(-2.3216660022735027, 51.149875640869254)",South Somerset,176.0
"(-2.669722080230713, 51.41983032226568)","(-2.2452759742736816, 51.67605972290045)",South Gloucestershire,574.0
"(-1.525319337844735, 54.925270080566406)","(-1.3524999618529705, 55.00291824340832)",South Tyneside,2343.0
"(-1.4950802326201824, 50.87874984741211)","(-1.3184107542036827, 50.95049667358404)",Southampton,5062.0
"(0.6163283586503212, 51.52097320556652)","(0.8102790117263794, 51.576663970947266)",Southend-on-Sea,4394.0
"(-2.0770812034606934, 52.6305770874024)","(-1.9226895570754436, 52.77810287475586)",Cannock Chase,1277.0
"(-2.058837652206364, 52.724136352539176)","(-1.5777398347854614, 53.05778503417969)",East Staffordshire,309.0
"(-1.9750152826309204, 52.57941436767578)","(-1.591157913207951, 52.80667877197271)",Lichfield,316.0
"(-2.4502780437469482, 52.86804962158209)","(-2.2103629112243084, 53.104614257812614)",Newcastle-under-Lyme,614.0
"(-2.3345072269439697, 52.421661376953125)","(-1.9762188196181683, 52.787487030029354)",South Staffordshire,276.0
"(-2.4292635917663574, 52.72228240966797)","(-1.9449189901350792, 52.984954833984375)",Stafford,229.0
"(-2.2389907836914062, 52.91615676879883)","(-1.7716679573058514, 53.21765899658209)",Staffordshire Moorlands,171.0
"(-1.7566131353377727, 52.590755462646484)","(-1.6307969093322754, 52.66177749633795)",Tamworth,2486.0
"(-2.2395408153533936, 53.33900833129883)","(-2.009416103363037, 53.45247268676752)",Stockport,2328.0
"(-1.4636319875716595, 54.46221923828131)","(-1.163330674171391, 54.647560119628906)",Stockton-on-Tees,963.0
"(-2.2460217475890545, 52.943664550781364)","(-2.07649827003479, 53.099044799804744)",Stoke-on-Trent,2743.0
"(0.6313363909721375, 51.94013977050787)","(1.2678942680358318, 52.177955627441406)",Babergh,155.0
"(1.1007611751555828, 52.009120941162166)","(1.2113368511199951, 52.090354919433594)",Ipswich,3465.0
"(0.8007028102874756, 52.06193542480469)","(1.3947424888611977, 52.39498519897472)",Mid Suffolk,119.0
"(-1.5628900527954102, 54.797000885009766)","(-1.3413900136947632, 54.93420791625982)",Sunderland,2021.0
"(-0.48176041245454826, 51.29567718505865)","(-0.3062441349029541, 51.40589523315424)",Elmbridge,1439.0
"(-0.3128541111946106, 51.29189682006836)","(-0.21805599331855774, 51.37395477294922)",Epsom and Ewell,2366.0
"(-0.7475209832191467, 51.171955108642635)","(-0.39182552695274353, 51.321674346923885)",Guildford,550.0
"(-0.4438613951206207, 51.09751129150402)","(-0.1823919117450714, 51.33267974853521)",Mole Valley,338.0
"(-0.27609407901763916, 51.14991760253912)","(-0.12403560429811478, 51.33972167968756)",Reigate and Banstead,1152.0
"(-0.6337217688559349, 51.3387908935548)","(-0.4791280031203655, 51.44298934936529)",Runnymede,1146.0
"(-0.5271080732345013, 51.373813629150504)","(-0.37214574217796326, 51.46512222290045)",Spelthorne,2224.0
